Category,EndpointUri,Method,Function,Complete,Notes
Account,/account,GET,Get-RocketCyberAccount,YES,
Agents,/agents,GET,Get-RocketCyberAgents,YES,
Apps,/apps,GET,Get-RocketCyberApps,YES,
Defender,/defender,GET,Get-RocketCyberDefender,YES,
Events,/events,GET,Get-RocketCyberEvents,YES,
Firewalls,/firewalls,GET,Get-RocketCyberFirewalls,YES,
Incidents,/incidents,GET,Get-RocketCyberIncidents,YES,
Internal,,DELETE,Remove-RocketCyberAPIKey,YES,
Internal,,DELETE,Remove-RocketCyberBaseURI,YES,
Internal,,DELETE,Remove-RocketCyberModuleSettings,YES,
Internal,,GET,Invoke-APIRequest,YES,
Internal,,GET,Get-RocketCyberAPIKey,YES,
Internal,,GET,Test-RocketCyberAPIKey,YES,
Internal,,GET,Get-RocketCyberBaseURI,YES,
Internal,,GET,Export-RocketCyberModuleSettings,YES,
Internal,,GET,Get-RocketCyberModuleSettings,YES,
Internal,,GET,Import-RocketCyberModuleSettings,YES,
Internal,,POST,Add-RocketCyberAPIKey,YES,
Internal,,POST,Add-RocketCyberBaseURI,YES,
Internal,,PUT,ConvertTo-QueryString,YES,
Office,/office,GET,Get-RocketCyberOffice,YES,
